UNIT,PLANT,PARENT,URL,SPONSOR,CAPACITY_MW,STATUS,REGION,COUNTRY,SUBNATIONAL_UNIT,GEOPOINT
Unit 1,RÃ­o Turbio Power Station,Yacimientos CarbonÃ­feros De RÃ­o Turbio Sa,https://www.gem.wiki/R%C3%ADo_Turbio_power_station,,120,Operating,Americas,Argentina,Santa Cruz,-51.54601
Unit 2,RÃ­o Turbio Power Station,Yacimientos CarbonÃ­feros De RÃ­o Turbio Sa,https://www.gem.wiki/R%C3%ADo_Turbio_power_station,,120,Construction,Americas,Argentina,Santa Cruz,-51.54601
Unit 1,Anglesea Power Station,Alcoa Corp,https://www.gem.wiki/Anglesea_power_station,,160,Retired,Oceania,Australia,Victoria,-38.38655
Unit 2,Bluewaters Power Station,Kansai Electric Power Co; Sumitomo Corp,https://www.gem.wiki/Bluewaters_power_station,,233,Operating,Oceania,Australia,Western Australia,-33.33219
Unit 1,Collinsville Power Station,Ratch Group Plc,https://www.gem.wiki/Collinsville_power_station,,30,Retired,Oceania,Australia,Queensland,-20.54505
Unit 2,Collinsville Power Station,Ratch Group Plc,https://www.gem.wiki/Collinsville_power_station,,30,Retired,Oceania,Australia,Queensland,-20.54505
Unit 2,Energy Brix Power Station,Hrl Holdings,https://www.gem.wiki/Energy_Brix_power_station,,30,Retired,Oceania,Australia,Victoria,-38.25397
Unit 2,Galilee Power Project,Mineralogy Pty Ltd,https://www.gem.wiki/Galilee_Power_project,,700,Cancelled,Oceania,Australia,Queensland,-23.47317
Unit 8,Hazelwood Power Station,Gdf Suez Australian Energy Pty Ltd,https://www.gem.wiki/Hazelwood_power_station,,200,Retired,Oceania,Australia,Victoria,-38.27183
Unit 1,Kogan Creek Power Station,Cs Energy Ltd,https://www.gem.wiki/Kogan_Creek_power_station,,750,Operating,Oceania,Australia,Queensland,-26.91788
Phase A Unit 1,Kwinana Power Station,Verve Energy,https://www.gem.wiki/Kwinana_power_station,,120,Retired,Oceania,Australia,Western Australia,-32.19834
Phase C Unit 2,Kwinana Power Station,Verve Energy,https://www.gem.wiki/Kwinana_power_station,,200,Retired,Oceania,Australia,Western Australia,-32.19834
Unit 3,Liddell Power Station,Agl Energy Ltd,https://www.gem.wiki/Liddell_power_station,,500,Retired,Oceania,Australia,New South Wales,-32.3716
Unit 1,Loy Yang A Power Station,Agl Energy Ltd; Mtaa Super; Ratch Group Plc; Tokyo Electric Power Co,https://www.gem.wiki/Loy_Yang_A_power_station,,560,Operating,Oceania,Australia,Victoria,-38.25241
